,Sub1,Sub2,word,board,eyebrow_MMI,tlen
0,103,203,bacon,1,1.857779443511707,615
2,103,203,balloon,1,1.8333169166279732,663
4,103,203,beauty,0,2.239013132491256,404
6,103,203,birthday,0,2.0573160539416597,520
8,103,203,bitter,1,1.9236918984843256,670
10,103,203,blanket,1,4.037595435976404,384
12,103,203,butter,1,4.446906365830392,370
14,103,203,cherry,0,2.2514064183154745,557
16,103,203,chlorine,1,2.022245776016936,464
18,103,203,christmas,1,3.6213400395594677,311
20,103,203,coffee,0,4.53868766177615,208
22,103,203,cologne,1,2.5483756223251803,979
24,103,203,doughnut,1,1.8191948385260102,522
26,103,203,exam,0,2.3786736820411565,434
28,103,203,flannel,0,3.0327818011201675,286
30,103,203,flower,0,2.037389687660976,658
32,103,203,gravy,0,3.1794934918216295,320
34,103,203,hamster,0,1.6996781909235945,889
36,103,203,hunger,1,2.955434142451567,463
38,103,203,jungle,0,2.0201471671083184,836
40,103,203,leather,1,2.0957257285194486,886
42,103,203,movie,0,2.086498978906807,667
44,103,203,muscle,0,2.434793253868532,322
46,103,203,music,1,2.939774482720679,323
48,103,203,pasta,0,4.359788116672387,317
50,103,203,picture,0,2.862827271631728,640
52,103,203,pillow,1,3.22127195924648,358
54,103,203,puppy,0,2.7644631928513195,337
56,103,203,river,1,4.29938225446455,257
58,103,203,siren,0,1.3775083740597351,2099
60,103,203,soda,1,3.849490107982949,318
62,103,203,spinach,1,1.9719641750376575,526
64,103,203,sugar,0,3.0442441210244753,270
66,103,203,sushi,0,2.7387426698674706,266
68,103,203,tiger,1,1.349687251176112,1427
70,103,203,traffic,1,1.8614122502893538,439
72,103,203,trumpet,0,2.0501242165774736,998
74,103,203,walnut,1,1.703476290110363,1218
76,103,203,yellow,0,2.9223239280521107,454
78,103,203,zipper,1,1.0236441550474977,2096
80,108,208,bacon,0,1.8544197168563257,923
82,108,208,balloon,1,1.5150339782212325,1553
84,108,208,beauty,1,3.358768172107138,247
86,108,208,birthday,1,2.536986116088299,326
88,108,208,bitter,0,2.4734566017366797,652
90,108,208,blanket,1,3.322615874533348,275
92,108,208,butter,0,2.891118745510058,340
94,108,208,cherry,0,4.236028554903598,293
96,108,208,chlorine,0,1.8438500582066184,698
98,108,208,christmas,1,3.496830620577448,222
100,108,208,coffee,0,5.037743349586896,215
102,108,208,cologne,0,1.4961579654430213,1232
104,108,208,doughnut,1,4.935540569767596,185
106,108,208,exam,0,2.6799169674600503,384
108,108,208,flannel,1,1.3542448656467618,1692
110,108,208,flower,0,2.7570879863632523,415
112,108,208,gravy,0,4.161615598861412,212
114,108,208,hamster,0,2.2041383681926923,585
116,108,208,hunger,1,3.399426490725009,476
118,108,208,jungle,1,2.0387167840833715,501
120,108,208,leather,0,3.4632005931992316,254
122,108,208,movie,1,2.745003942748675,335
124,108,208,muscle,1,3.061931827366924,275
126,108,208,music,1,3.005605529917296,221
128,108,208,pasta,1,2.963396616854946,216
130,108,208,picture,1,3.19604525518971,388
132,108,208,pillow,1,3.306058138214898,271
134,108,208,puppy,0,3.1140617340159236,363
136,108,208,river,0,1.809640434254596,546
138,108,208,siren,0,1.5717763411057475,477
140,108,208,soda,1,4.029889299251557,309
142,108,208,spinach,1,1.0550949432206913,2099
144,108,208,sugar,0,3.7041481087289947,200
146,108,208,sushi,1,1.4405444890280203,619
148,108,208,tiger,0,1.9987065481747313,655
150,108,208,traffic,0,2.609555325669855,441
152,108,208,trumpet,1,2.806087089531505,398
154,108,208,walnut,0,2.4092139034863944,446
156,108,208,yellow,1,2.9600231609454166,350
158,108,208,zipper,0,1.6705835539320315,641
