condition,dt,TDMI
ground,0,1.4369119127021683
ground,1,1.43947456166197
ground,2,1.4277560188340344
ground,3,1.421092757675389
ground,4,1.4172467674473808
ground,5,1.4426465428134474
ground,6,1.4229684111184708
ground,7,1.417110481518276
ground,8,1.4353073616937078
ground,9,1.432537047253093
board,0,1.4333825395220234
board,1,1.425700122539772
board,2,1.4313637446819536
board,3,1.4333646389745223
board,4,1.4297219027295585
board,5,1.4482310530416056
board,6,1.4675657961567286
board,7,1.4761152692886288
board,8,1.475898783450373
board,9,1.4856971940078711
